rows,inserts,deletes,duration_ms
6929,6929,0,0.48233
1732,1732,0,0.030564
173,173,0,0.095415
1,1,0,0.015492
6929,6929,0,0.358788
1732,1732,0,0.028501
173,173,0,0.099716
1,1,0,0.011847
6929,6929,0,0.245068
1732,1732,0,0.03492
173,173,0,0.085581
1,1,0,0.016197
6929,6929,0,0.50342
1732,1732,0,0.030781
173,173,0,0.087535
1,1,0,0.021515
6929,6929,0,0.241636
1732,1732,0,0.031312
173,173,0,0.16473
1,1,0,0.023728
6929,6929,0,0.225155
1732,1732,0,0.029644
173,173,0,0.102094
1,1,0,0.019952
6929,6929,0,0.223523
1732,1732,0,0.047508
173,173,0,0.121561
1,1,0,0.034051
6929,6929,0,0.728881
1732,1732,0,0.028451
173,173,0,0.121984
1,1,0,0.035143
6929,6929,0,0.209019
1732,1732,0,0.045835
173,173,0,0.153436
1,1,0,0.036434
6929,6929,0,0.296663
1732,1732,0,0.029361
173,173,0,0.113771
1,1,0,0.038757
6929,6929,0,0.225273
1732,1732,0,0.028704
173,173,0,0.111884
1,1,0,0.058772
6929,6929,0,0.242689
1732,1732,0,0.045193
173,173,0,0.124721
1,1,0,0.047985
6929,6929,0,0.234508
1732,1732,0,0.044065
173,173,0,0.180149
1,1,0,0.059487
6929,6929,0,0.262608
1732,1732,0,0.031329
173,173,0,0.126055
1,1,0,0.061918
6929,6929,0,1.31579
1732,1732,0,0.034696
173,173,0,0.128764
1,1,0,0.11112
6929,6929,0,0.221924
1732,1732,0,0.100995
173,173,0,0.127604
1,1,0,0.064611
6929,6929,0,0.21714
1732,1732,0,0.031348
173,173,0,0.123944
1,1,0,0.072945
6929,6929,0,0.218087
1732,1732,0,0.028442
173,173,0,0.24933
1,1,0,0.079007
6929,6929,0,0.24961
1732,1732,0,0.029695
173,173,0,0.145395
1,1,0,0.086743
6929,6929,0,0.392806
1732,1732,0,0.03133
173,173,0,0.168507
1,1,0,0.093951
6929,6929,0,0.272432
1732,1732,0,0.037111
173,173,0,0.155916
1,1,0,0.108494
6929,6929,0,0.27784
1732,1732,0,0.039743
173,173,0,0.220404
1,1,0,0.098985
6929,6929,0,0.261387
1732,1732,0,0.20606
173,173,0,0.154393
1,1,0,0.101476
6929,6929,0,0.269885
1732,1732,0,0.033695
173,173,0,0.158531
1,1,0,0.115765
6929,6929,0,0.266755
1732,1732,0,0.059032
173,173,0,0.239018
1,1,0,0.108781
6929,6929,0,0.287931
1732,1732,0,0.036083
173,173,0,0.177986
1,0,1,0.114863
6929,6929,0,0.300059
1732,1732,0,0.030043
173,173,0,0.151271
1,1,0,0.092901
6929,6929,0,0.269951
1732,1732,0,0.039998
173,173,0,0.168476
1,0,1,0.145625
6929,6929,0,0.271469
1732,1732,0,0.033892
173,173,0,0.152619
1,1,0,0.117583
6929,6929,0,2.50557
1732,1732,0,0.040867
173,173,0,0.159337
1,0,1,0.151065
6929,6929,0,0.233254
1732,1732,0,0.032441
173,173,0,0.146976
1,1,0,0.11186
6929,6929,0,0.225076
1732,1732,0,0.039265
173,173,0,0.158629
1,0,1,0.163893
6929,6929,0,0.238375
1732,1732,0,0.032678
173,173,0,0.14943
1,1,0,0.132331
6929,6929,0,0.236434
1732,1732,0,0.040091
173,173,0,0.156951
1,0,1,0.192108
6929,6929,0,0.251009
1732,1732,0,0.029765
173,173,0,0.154
1,1,0,0.144845
6929,6929,0,0.238794
1732,1732,0,0.043493
173,173,0,0.589791
1,0,1,0.196102
6929,6929,0,0.245359
1732,1732,0,0.034234
173,173,0,0.158023
1,1,0,0.156084
6929,6929,0,0.25171
1732,1732,0,0.379184
173,173,0,0.170134
1,0,1,0.195512
6929,6929,0,0.261047
1732,1732,0,0.031456
173,173,0,0.157597
1,1,0,0.155981
6929,6929,0,0.59308
1732,1732,0,0.048136
173,173,0,0.166025
1,0,1,0.203492
6929,6929,0,0.266025
1732,1732,0,0.032349
173,173,0,0.158456
1,1,0,0.159322
6929,6929,0,0.262947
1732,1732,0,0.039184
173,173,0,0.164257
1,0,1,0.222135
6929,6929,0,0.25799
1732,1732,0,0.032454
173,173,0,0.153231
1,1,0,0.184064
6929,6929,0,0.268472
1732,1732,0,0.042374
173,173,0,0.170845
1,0,1,0.2071
6929,6929,0,0.25582
1732,1732,0,0.032752
173,173,0,0.154227
1,1,0,0.200085
6929,6929,0,0.270012
1732,1732,0,0.043034
173,173,0,0.161745
1,0,1,0.216271
6929,6929,0,0.274384
1732,1732,0,0.037472
173,173,0,0.155736
1,1,0,0.176338
6929,6929,0,0.25893
1732,1732,0,0.090793
173,173,0,0.225717
1,0,1,0.265668
6929,6929,0,0.281408
1732,1732,0,0.033688
173,173,0,0.153036
1,1,0,0.208653
6929,6929,0,0.272217
1732,1732,0,0.04618
173,173,0,0.170924
1,0,1,0.269173
6929,6929,0,0.295057
1732,1732,0,0.032577
173,173,0,0.165464
1,1,0,0.215648
6929,6929,0,0.288073
1732,1732,0,0.045233
173,173,0,0.18041
1,0,1,0.32437
6929,6929,0,0.287049
1732,1732,0,0.035016
173,173,0,0.166351
1,1,0,0.225641
6929,6929,0,0.315153
1732,1732,0,0.047481
173,173,0,0.168389
1,0,1,0.317264
6929,6929,0,0.278728
1732,1732,0,0.034177
173,173,0,0.151396
1,1,0,0.232868
6929,6929,0,0.289998
1732,1732,0,0.052206
173,173,0,0.179862
1,0,1,0.305631
6929,6929,0,0.282383
1732,1732,0,0.030092
173,173,0,0.157076
1,1,0,0.229896
6929,6929,0,0.27615
1732,1732,0,0.046279
173,173,0,0.171453
1,0,1,0.31603
6929,6929,0,0.282844
1732,1732,0,0.037681
173,173,0,0.164428
1,1,0,0.24114
6929,6929,0,0.27876
1732,1732,0,0.04755
173,173,0,0.170605
1,0,1,0.312191
6929,6929,0,0.299062
1732,1732,0,0.033082
173,173,0,0.160189
1,1,0,0.25024
6929,6929,0,3.51867
1732,1732,0,0.053446
173,173,0,0.232989
1,0,1,0.349136
