rows,inserts,deletes,duration_ms
6929,6929,0,0.51289
1732,1732,0,0.030997
173,173,0,0.156408
6929,6929,0,0.371943
1732,1732,0,0.035157
173,173,0,0.116131
6929,6929,0,0.232787
1732,1732,0,0.035654
173,173,0,0.135387
6929,6929,0,0.49859
1732,1732,0,0.044656
173,173,0,0.120791
6929,6929,0,0.243611
1732,1732,0,0.029171
173,173,0,0.133492
6929,6929,0,0.261445
1732,1732,0,0.07573
173,173,0,0.134643
6929,6929,0,0.251472
1732,1732,0,0.035699
173,173,0,0.131543
6929,6929,0,0.791237
1732,1732,0,0.030438
173,173,0,0.121793
6929,6929,0,0.210558
1732,1732,0,0.031521
173,173,0,0.169926
6929,6929,0,0.290548
1732,1732,0,0.113996
173,173,0,0.123183
6929,6929,0,0.235218
1732,1732,0,0.028615
173,173,0,0.123161
6929,6929,0,0.246484
1732,1732,0,0.028909
173,173,0,0.12948
6929,6929,0,0.241151
1732,1732,0,0.042944
173,173,0,0.142251
6929,6929,0,0.279939
1732,1732,0,0.029927
173,173,0,0.125314
6929,6929,0,1.36871
1732,1732,0,0.034172
173,173,0,0.120294
6929,6929,0,0.226955
1732,1732,0,0.031946
173,173,0,0.118943
6929,6929,0,0.217258
1732,1732,0,0.031713
173,173,0,0.117796
6929,6929,0,0.222558
1732,1732,0,0.027512
173,173,0,0.220339
6929,6929,0,0.230681
1732,1732,0,0.174717
173,173,0,0.126552
6929,6929,0,0.42851
1732,1732,0,0.030442
173,173,0,0.133939
6929,6929,0,0.269312
1732,1732,0,0.033474
173,173,0,0.129264
6929,6929,0,0.276273
1732,1732,0,0.032718
173,173,0,0.150394
6929,6929,0,0.290946
1732,1732,0,0.032535
173,173,0,0.129656
6929,6929,0,0.286946
1732,1732,0,0.030766
173,173,0,0.128929
6929,6929,0,0.293938
1732,1732,0,0.052443
173,173,0,0.147371
6929,6929,0,0.272926
1732,1732,0,0.030053
173,173,0,0.130658
6929,6929,0,0.272792
1732,1732,0,0.029459
173,173,0,0.125504
6929,6929,0,0.267953
1732,1732,0,0.033509
173,173,0,0.129451
6929,6929,0,0.331797
1732,1732,0,0.034076
173,173,0,0.131932
6929,6929,0,2.08494
1732,1732,0,0.032652
173,173,0,0.128319
6929,6929,0,0.22835
1732,1732,0,0.031265
173,173,0,0.121917
6929,6929,0,0.217952
1732,1732,0,0.032497
173,173,0,0.12242
6929,6929,0,0.229476
1732,1732,0,0.03168
173,173,0,0.124924
6929,6929,0,0.260076
1732,1732,0,0.03391
173,173,0,0.129262
6929,6929,0,0.247882
1732,1732,0,0.031887
173,173,0,0.131541
6929,6929,0,0.244343
1732,1732,0,0.035599
173,173,0,0.356117
6929,6929,0,0.235085
1732,1732,0,0.291817
173,173,0,0.131816
6929,6929,0,0.254257
1732,1732,0,0.032023
173,173,0,0.126543
6929,6929,0,0.244336
1732,1732,0,0.031942
173,173,0,0.127118
6929,6929,0,0.530241
1732,1732,0,0.036172
173,173,0,0.127117
6929,6929,0,0.260263
1732,1732,0,0.031248
173,173,0,0.13669
6929,6929,0,0.284781
1732,1732,0,0.03146
173,173,0,0.133192
6929,6929,0,0.271032
1732,1732,0,0.031542
173,173,0,0.134815
6929,6929,0,0.281683
1732,1732,0,0.029088
173,173,0,0.125968
6929,6929,0,0.252995
1732,1732,0,0.030214
173,173,0,0.127019
6929,6929,0,0.268003
1732,1732,0,0.032105
173,173,0,0.126522
6929,6929,0,0.259489
1732,1732,0,0.034052
173,173,0,0.128696
6929,6929,0,0.256566
1732,1732,0,0.078263
173,173,0,0.179244
6929,6929,0,0.268134
1732,1732,0,0.032459
173,173,0,0.126638
6929,6929,0,0.268773
1732,1732,0,0.03274
173,173,0,0.160646
6929,6929,0,0.272195
1732,1732,0,0.030624
173,173,0,0.135369
6929,6929,0,0.2802
1732,1732,0,0.031099
173,173,0,0.138884
6929,6929,0,0.281339
1732,1732,0,0.031158
173,173,0,0.125737
6929,6929,0,0.283345
1732,1732,0,0.03231
173,173,0,0.129808
6929,6929,0,0.264569
1732,1732,0,0.033366
173,173,0,0.125993
6929,6929,0,0.27455
1732,1732,0,0.034001
173,173,0,0.127255
6929,6929,0,0.271301
1732,1732,0,0.027524
173,173,0,0.127914
6929,6929,0,0.257818
1732,1732,0,0.031899
173,173,0,0.125977
6929,6929,0,0.273481
1732,1732,0,0.033443
173,173,0,0.155998
6929,6929,0,0.268331
1732,1732,0,0.031224
173,173,0,0.130031
6929,6929,0,0.283194
1732,1732,0,0.031371
173,173,0,0.128856
6929,6929,0,3.89026
1732,1732,0,0.033464
173,173,0,0.127636
6929,6929,0,0.243046
1732,1732,0,0.038128
173,173,0,0.131978
6929,6929,0,0.238472
1732,1732,0,0.037727
173,173,0,0.127736
6929,6929,0,0.235828
1732,1732,0,0.03154
173,173,0,0.130447
