-------------
Loading input relations... 21828 ms
  Lineitem (6000000) 
  Orders (1500000) 
  Customer (150000) 
-------------
1. On begin of processing... 0 ms
2. Processing tables... 0 ms
3. On system ready... 0 ms
4. Processing streams... Processed: 1000 (0.01%)    Batch time: 0 ms
Processed: 78000 (1.02%)    Batch time: 4 ms
Processed: 155000 (2.03%)    Batch time: 5 ms
Processed: 232000 (3.03%)    Batch time: 6 ms
Processed: 309000 (4.04%)    Batch time: 5 ms
Processed: 386000 (5.05%)    Batch time: 7 ms
Processed: 463000 (6.05%)    Batch time: 7 ms
Processed: 540000 (7.06%)    Batch time: 6 ms
Processed: 617000 (8.07%)    Batch time: 12 ms
Processed: 694000 (9.07%)    Batch time: 6 ms
Processed: 771000 (10.08%)    Batch time: 5 ms
Processed: 848000 (11.08%)    Batch time: 5 ms
Processed: 925000 (12.09%)    Batch time: 5 ms
Processed: 1002000 (13.10%)    Batch time: 6 ms
Processed: 1079000 (14.10%)    Batch time: 15 ms
Processed: 1156000 (15.11%)    Batch time: 7 ms
Processed: 1233000 (16.12%)    Batch time: 10 ms
Processed: 1310000 (17.12%)    Batch time: 8 ms
Processed: 1387000 (18.13%)    Batch time: 6 ms
Processed: 1464000 (19.14%)    Batch time: 7 ms
Processed: 1541000 (20.14%)    Batch time: 6 ms
Processed: 1618000 (21.15%)    Batch time: 6 ms
Processed: 1695000 (22.16%)    Batch time: 6 ms
Processed: 1772000 (23.16%)    Batch time: 7 ms
Processed: 1849000 (24.17%)    Batch time: 10 ms
Processed: 1926000 (25.18%)    Batch time: 27 ms
Processed: 2003000 (26.18%)    Batch time: 7 ms
Processed: 2080000 (27.19%)    Batch time: 7 ms
Processed: 2157000 (28.20%)    Batch time: 7 ms
Processed: 2234000 (29.20%)    Batch time: 7 ms
Processed: 2311000 (30.21%)    Batch time: 16 ms
Processed: 2388000 (31.22%)    Batch time: 6 ms
Processed: 2465000 (32.22%)    Batch time: 7 ms
Processed: 2542000 (33.23%)    Batch time: 7 ms
Processed: 2619000 (34.24%)    Batch time: 6 ms
Processed: 2696000 (35.24%)    Batch time: 7 ms
Processed: 2773000 (36.25%)    Batch time: 6 ms
Processed: 2850000 (37.25%)    Batch time: 7 ms
Processed: 2927000 (38.26%)    Batch time: 15 ms
Processed: 3004000 (39.27%)    Batch time: 7 ms
Processed: 3081000 (40.27%)    Batch time: 6 ms
Processed: 3158000 (41.28%)    Batch time: 7 ms
Processed: 3235000 (42.29%)    Batch time: 1 ms
Processed: 3312000 (43.29%)    Batch time: 2 ms
Processed: 3389000 (44.30%)    Batch time: 1 ms
Processed: 3466000 (45.31%)    Batch time: 3 ms
