-------------
Loading input relations... 220073 ms
  Lineitem (59986052) 
  Orders (15000000) 
  Customer (1500000) 
-------------
1. On begin of processing... 0 ms
2. Processing tables... 0 ms
3. On system ready... 0 ms
4. Processing streams... Processed: 1000 (0.00%)    Batch time: 0 ms
Processed: 766000 (1.00%)    Batch time: 65 ms
Processed: 1531000 (2.00%)    Batch time: 70 ms
Processed: 2296000 (3.00%)    Batch time: 61 ms
Processed: 3061000 (4.00%)    Batch time: 93 ms
Processed: 3826000 (5.00%)    Batch time: 99 ms
Processed: 4591000 (6.00%)    Batch time: 79 ms
Processed: 5356000 (7.00%)    Batch time: 110 ms
Processed: 6121000 (8.00%)    Batch time: 98 ms
Processed: 6886000 (9.00%)    Batch time: 75 ms
Processed: 7651000 (10.00%)    Batch time: 94 ms
Processed: 8416000 (11.00%)    Batch time: 162 ms
Processed: 9181000 (12.00%)    Batch time: 115 ms
Processed: 9946000 (13.00%)    Batch time: 131 ms
Processed: 10711000 (14.00%)    Batch time: 79 ms
Processed: 11476000 (15.00%)    Batch time: 80 ms
Processed: 12241000 (16.00%)    Batch time: 77 ms
Processed: 13006000 (17.00%)    Batch time: 116 ms
Processed: 13771000 (18.00%)    Batch time: 79 ms
Processed: 14536000 (19.00%)    Batch time: 270 ms
Processed: 15301000 (20.00%)    Batch time: 78 ms
Processed: 16066000 (21.01%)    Batch time: 80 ms
Processed: 16831000 (22.01%)    Batch time: 81 ms
Processed: 17596000 (23.01%)    Batch time: 84 ms
Processed: 18361000 (24.01%)    Batch time: 179 ms
Processed: 19126000 (25.01%)    Batch time: 87 ms
Processed: 19891000 (26.01%)    Batch time: 77 ms
Processed: 20656000 (27.01%)    Batch time: 79 ms
Processed: 21421000 (28.01%)    Batch time: 79 ms
Processed: 22186000 (29.01%)    Batch time: 79 ms
Processed: 22951000 (30.01%)    Batch time: 81 ms
Processed: 23716000 (31.01%)    Batch time: 82 ms
Processed: 24481000 (32.01%)    Batch time: 156 ms
Processed: 25246000 (33.01%)    Batch time: 94 ms
Processed: 26011000 (34.01%)    Batch time: 85 ms
Processed: 26776000 (35.01%)    Batch time: 82 ms
