query,vo,dataset_version,percentage,throughput
tpch_query03,vo1,jcch10,1.0,12750000.0
tpch_query03,vo1,jcch10,2.0,11086956.52173913
tpch_query03,vo1,jcch10,3.0,11590909.09090909
tpch_query03,vo1,jcch10,4.0,8693181.818181818
tpch_query03,vo1,jcch10,5.0,11086956.52173913
tpch_query03,vo1,jcch10,6.0,12142857.142857144
tpch_query03,vo1,jcch10,7.0,5349650.3496503495
tpch_query03,vo1,jcch10,8.0,9000000.0
tpch_query03,vo1,jcch10,9.0,11417910.447761195
tpch_query03,vo1,jcch10,10.0,11086956.52173913
tpch_query03,vo1,jcch10,11.0,4112903.225806452
tpch_query03,vo1,jcch10,12.0,11086956.52173913
tpch_query03,vo1,jcch10,13.0,10337837.837837838
tpch_query03,vo1,jcch10,14.0,7216981.132075472
tpch_query03,vo1,jcch10,15.0,11086956.52173913
tpch_query03,vo1,jcch10,16.0,13189655.172413794
tpch_query03,vo1,jcch10,17.0,13189655.172413794
tpch_query03,vo1,jcch10,18.0,12966101.694915254
tpch_query03,vo1,jcch10,19.0,7216981.132075472
tpch_query03,vo1,jcch10,20.0,2886792.452830189
tpch_query03,vo1,jcch10,21.0,13421052.631578946
tpch_query03,vo1,jcch10,22.0,13421052.631578946
tpch_query03,vo1,jcch10,23.0,12966101.694915254
tpch_query03,vo1,jcch10,24.0,10928571.42857143
tpch_query03,vo1,jcch10,25.0,10774647.887323944
tpch_query03,vo1,jcch10,26.0,10774647.887323944
tpch_query03,vo1,jcch10,27.0,10625000.0
tpch_query03,vo1,jcch10,28.0,10774647.887323944
tpch_query03,vo1,jcch10,29.0,10774647.887323944
tpch_query03,vo1,jcch10,30.0,10479452.054794522
tpch_query03,vo1,jcch10,31.0,10200000.0
tpch_query03,vo1,jcch10,32.0,10337837.837837838
tpch_query03,vo1,jcch10,33.0,5100000.0
tpch_query03,vo1,jcch10,34.0,10337837.837837838
tpch_query03,vo1,jcch10,35.0,10479452.054794522
tpch_query03,vo1,jcch10,36.0,4500000.0
tpch_query03,vo1,jcch10,37.0,10625000.0
tpch_query03,vo1,jcch10,38.0,1502946.9548133595
tpch_query03,vo1,jcch10,39.0,10337837.837837838
tpch_query03,vo1,jcch10,40.0,10065789.47368421
tpch_query03,vo1,jcch10,41.0,10625000.0
tpch_query03,vo1,jcch10,42.0,17000000.0
tpch_query03,vo1,jcch10,43.0,19615384.615384616
tpch_query03,vo1,jcch10,44.0,17790697.674418602
tpch_query03,vo1,jcch10,45.0,16630434.782608695
tpch_query03,vo1,jcch10,46.0,17790697.674418602
tpch_query03,vo1,jcch10,47.0,30600000.0
tpch_query03,vo1,jcch10,48.0,51000000.0
tpch_query03,vo1,jcch10,49.0,51000000.0
tpch_query03,vo1,jcch10,50.0,51000000.0
tpch_query03,vo1,jcch10,51.0,25500000.0
tpch_query03,vo1,jcch10,52.0,4047619.0476190476
tpch_query03,vo1,jcch10,53.0,20675675.675675675
tpch_query03,vo1,jcch10,54.0,14166666.666666666
tpch_query03,vo1,jcch10,55.0,20675675.675675675
tpch_query03,vo1,jcch10,56.0,20675675.675675675
tpch_query03,vo1,jcch10,57.0,20675675.675675675
tpch_query03,vo1,jcch10,58.0,19615384.615384616
tpch_query03,vo1,jcch10,59.0,20675675.675675675
tpch_query03,vo1,jcch10,60.0,21250000.0
tpch_query03,vo1,jcch10,61.0,20131578.94736842
tpch_query03,vo1,jcch10,62.0,20675675.675675675
tpch_query03,vo1,jcch10,63.0,20131578.94736842
tpch_query03,vo1,jcch10,64.0,17790697.674418602
tpch_query03,vo1,jcch10,65.0,20675675.675675675
tpch_query03,vo1,jcch10,66.0,47812500.0
tpch_query03,vo1,jcch10,67.0,47812500.0
tpch_query03,vo1,jcch10,68.0,47812500.0
tpch_query03,vo1,jcch10,69.0,34772727.27272727
tpch_query03,vo1,jcch10,70.0,19615384.615384616
tpch_query03,vo1,jcch10,71.0,19615384.615384616
tpch_query03,vo1,jcch10,72.0,19615384.615384616
tpch_query03,vo1,jcch10,73.0,19615384.615384616
